"species","area","year","quarter","division","length","count","catchnumber","prop"
"hom","27",2017,4,"27.7.c",38,1,313,0.0016
"hom","27",2017,4,"27.7.c",39,1,313,0.0016
"hom","27",2017,4,"27.7.k",31,3,9352,0.0378
"hom","27",2017,4,"27.7.k",32,10,28056,0.1133
"hom","27",2017,4,"27.7.k",33,20,50151,0.2025
"hom","27",2017,4,"27.7.k",34,27,63781,0.2576
"hom","27",2017,4,"27.7.k",35,16,40798,0.1648
"hom","27",2017,4,"27.7.k",36,16,36771,0.1485
"hom","27",2017,4,"27.7.k",37,4,13061,0.0527
"hom","27",2017,4,"27.7.k",38,0,2821,0.0114
"hom","27",2017,4,"27.7.k",39,0,2821,0.0114
"hom","27",2018,1,"27.6.a",18,1,6743,1e-04
"hom","27",2018,1,"27.6.a",19,413,2761249,0.0614
"hom","27",2018,1,"27.6.a",20,776,4991801,0.111
"hom","27",2018,1,"27.6.a",21,642,3829282,0.0851
"hom","27",2018,1,"27.6.a",22,1443,8321138,0.185
"hom","27",2018,1,"27.6.a",23,1372,7347738,0.1634
"hom","27",2018,1,"27.6.a",24,860,4239390,0.0943
"hom","27",2018,1,"27.6.a",25,709,3450105,0.0767
"hom","27",2018,1,"27.6.a",26,590,2701607,0.0601
"hom","27",2018,1,"27.6.a",27,513,2406021,0.0535
"hom","27",2018,1,"27.6.a",28,340,1253162,0.0279
"hom","27",2018,1,"27.6.a",29,213,531458,0.0118
"hom","27",2018,1,"27.6.a",30,275,764928,0.017
"hom","27",2018,1,"27.6.a",31,188,566945,0.0126
"hom","27",2018,1,"27.6.a",32,210,568306,0.0126
"hom","27",2018,1,"27.6.a",33,207,551641,0.0123
"hom","27",2018,1,"27.6.a",34,125,307524,0.0068
"hom","27",2018,1,"27.6.a",35,67,141255,0.0031
"hom","27",2018,1,"27.6.a",36,69,143350,0.0032
"hom","27",2018,1,"27.6.a",37,27,54045,0.0012
"hom","27",2018,1,"27.6.a",38,14,19695,4e-04
"hom","27",2018,1,"27.6.a",39,6,11565,3e-04
"hom","27",2018,1,"27.6.a",40,2,5312,1e-04
"hom","27",2018,1,"27.7.b",19,9,62755,0.0123
"hom","27",2018,1,"27.7.b",20,33,123840,0.0242
"hom","27",2018,1,"27.7.b",22,45,283916,0.0555
"hom","27",2018,1,"27.7.b",23,145,737440,0.1441
"hom","27",2018,1,"27.7.b",24,95,463629,0.0906
"hom","27",2018,1,"27.7.b",25,91,322947,0.0631
"hom","27",2018,1,"27.7.b",26,145,452996,0.0885
"hom","27",2018,1,"27.7.b",27,175,576723,0.1127
"hom","27",2018,1,"27.7.b",28,254,849867,0.1661
"hom","27",2018,1,"27.7.b",29,35,16469,0.0032
"hom","27",2018,1,"27.7.b",30,150,481350,0.0941
"hom","27",2018,1,"27.7.b",31,134,402595,0.0787
"hom","27",2018,1,"27.7.b",32,95,176728,0.0345
"hom","27",2018,1,"27.7.b",33,54,89369,0.0175
"hom","27",2018,1,"27.7.b",34,38,41636,0.0081
"hom","27",2018,1,"27.7.b",35,27,15932,0.0031
"hom","27",2018,1,"27.7.b",36,22,12102,0.0024
"hom","27",2018,1,"27.7.b",37,7,3686,7e-04
"hom","27",2018,1,"27.7.b",38,3,1580,3e-04
"hom","27",2018,1,"27.7.b",39,2,1053,2e-04
"hom","27",2018,1,"27.7.b",40,1,526,1e-04
"hom","27",2018,1,"27.7.c",28,12,4401,0.25
"hom","27",2018,1,"27.7.c",29,15,5502,0.3125
"hom","27",2018,1,"27.7.c",30,11,4035,0.2292
"hom","27",2018,1,"27.7.c",31,7,2567,0.1458
"hom","27",2018,1,"27.7.c",32,3,1100,0.0625
"hom","27",2018,1,"27.7.h",11,14,224,0
"hom","27",2018,1,"27.7.h",12,15,240,0
"hom","27",2018,1,"27.7.h",13,48,13745,6e-04
"hom","27",2018,1,"27.7.h",14,68,20554,9e-04
"hom","27",2018,1,"27.7.h",15,99,54430,0.0025
"hom","27",2018,1,"27.7.h",16,192,137524,0.0062
"hom","27",2018,1,"27.7.h",17,593,815515,0.0369
"hom","27",2018,1,"27.7.h",18,969,1804157,0.0817
"hom","27",2018,1,"27.7.h",19,1105,2373079,0.1075
"hom","27",2018,1,"27.7.h",20,894,2873306,0.1302
"hom","27",2018,1,"27.7.h",21,903,3919272,0.1775
"hom","27",2018,1,"27.7.h",22,951,3884988,0.176
"hom","27",2018,1,"27.7.h",23,773,3132678,0.1419
"hom","27",2018,1,"27.7.h",24,370,1344393,0.0609
"hom","27",2018,1,"27.7.h",25,248,700788,0.0317
"hom","27",2018,1,"27.7.h",26,215,600565,0.0272
"hom","27",2018,1,"27.7.h",27,97,241962,0.011
"hom","27",2018,1,"27.7.h",28,28,70794,0.0032
"hom","27",2018,1,"27.7.h",29,35,42814,0.0019
"hom","27",2018,1,"27.7.h",30,72,18283,8e-04
"hom","27",2018,1,"27.7.h",31,54,7712,3e-04
"hom","27",2018,1,"27.7.h",32,22,6137,3e-04
"hom","27",2018,1,"27.7.h",33,13,4485,2e-04
"hom","27",2018,1,"27.7.h",34,11,4407,2e-04
"hom","27",2018,1,"27.7.h",35,9,4004,2e-04
"hom","27",2018,1,"27.7.j",21,4,249,5e-04
"hom","27",2018,1,"27.7.j",22,24,3496,0.0071
"hom","27",2018,1,"27.7.j",23,43,2682,0.0055
"hom","27",2018,1,"27.7.j",24,55,8168,0.0167
"hom","27",2018,1,"27.7.j",25,21,3234,0.0066
"hom","27",2018,1,"27.7.j",26,15,2453,0.005
"hom","27",2018,1,"27.7.j",27,23,11390,0.0233
"hom","27",2018,1,"27.7.j",28,29,32576,0.0665
"hom","27",2018,1,"27.7.j",29,33,46766,0.0955
"hom","27",2018,1,"27.7.j",30,40,61948,0.1265
"hom","27",2018,1,"27.7.j",31,42,85034,0.1737
"hom","27",2018,1,"27.7.j",32,51,72540,0.1482
"hom","27",2018,1,"27.7.j",33,38,63855,0.1304
"hom","27",2018,1,"27.7.j",34,37,37073,0.0757
"hom","27",2018,1,"27.7.j",35,29,25512,0.0521
"hom","27",2018,1,"27.7.j",36,16,15153,0.031
"hom","27",2018,1,"27.7.j",37,7,7410,0.0151
"hom","27",2018,1,"27.7.j",38,4,5744,0.0117
"hom","27",2018,1,"27.7.j",39,3,4308,0.0088
"hom","27",2018,2,"27.6.a",31,2,2874,0.9593
"hom","27",2018,2,"27.6.a",34,5,10,0.0033
"hom","27",2018,2,"27.6.a",35,8,16,0.0053
"hom","27",2018,2,"27.6.a",36,10,20,0.0067
"hom","27",2018,2,"27.6.a",37,12,24,0.008
"hom","27",2018,2,"27.6.a",38,11,22,0.0073
"hom","27",2018,2,"27.6.a",39,10,20,0.0067
"hom","27",2018,2,"27.6.a",40,5,10,0.0033
"hom","27",2018,3,"27.7.d",16,5,30447,0.0033
"hom","27",2018,3,"27.7.d",17,44,222835,0.0243
"hom","27",2018,3,"27.7.d",18,80,411825,0.0449
"hom","27",2018,3,"27.7.d",19,116,550822,0.0601
"hom","27",2018,3,"27.7.d",20,275,1383795,0.1509
"hom","27",2018,3,"27.7.d",21,317,1741313,0.1899
"hom","27",2018,3,"27.7.d",22,267,1464129,0.1597
"hom","27",2018,3,"27.7.d",23,254,1450181,0.1582
"hom","27",2018,3,"27.7.d",24,199,1042894,0.1137
"hom","27",2018,3,"27.7.d",25,107,606403,0.0661
"hom","27",2018,3,"27.7.d",26,26,174984,0.0191
"hom","27",2018,3,"27.7.d",27,10,67963,0.0074
"hom","27",2018,3,"27.7.d",28,4,21707,0.0024
"hom","27",2018,4,"27.4.c",18,1,9058,0.0017
"hom","27",2018,4,"27.4.c",20,8,113645,0.0208
"hom","27",2018,4,"27.4.c",21,22,262360,0.048
"hom","27",2018,4,"27.4.c",22,32,446567,0.0818
"hom","27",2018,4,"27.4.c",23,49,544149,0.0996
"hom","27",2018,4,"27.4.c",24,57,635057,0.1163
"hom","27",2018,4,"27.4.c",25,78,968097,0.1773
"hom","27",2018,4,"27.4.c",26,83,993924,0.182
"hom","27",2018,4,"27.4.c",27,48,606560,0.1111
"hom","27",2018,4,"27.4.c",28,35,467694,0.0856
"hom","27",2018,4,"27.4.c",29,27,281917,0.0516
"hom","27",2018,4,"27.4.c",30,8,84068,0.0154
"hom","27",2018,4,"27.4.c",31,2,28999,0.0053
"hom","27",2018,4,"27.4.c",32,1,19352,0.0035
"hom","27",2018,4,"27.6.a",20,8,3908,6e-04
"hom","27",2018,4,"27.6.a",21,30,70449,0.0102
"hom","27",2018,4,"27.6.a",22,38,97970,0.0142
"hom","27",2018,4,"27.6.a",23,56,180611,0.0262
"hom","27",2018,4,"27.6.a",24,100,218658,0.0317
"hom","27",2018,4,"27.6.a",25,319,817296,0.1185
"hom","27",2018,4,"27.6.a",26,547,1525664,0.2212
"hom","27",2018,4,"27.6.a",27,475,1298417,0.1882
"hom","27",2018,4,"27.6.a",28,328,938551,0.136
"hom","27",2018,4,"27.6.a",29,292,542567,0.0786
"hom","27",2018,4,"27.6.a",30,238,438504,0.0636
"hom","27",2018,4,"27.6.a",31,146,239308,0.0347
"hom","27",2018,4,"27.6.a",32,148,274742,0.0398
"hom","27",2018,4,"27.6.a",33,103,177389,0.0257
"hom","27",2018,4,"27.6.a",34,40,58829,0.0085
"hom","27",2018,4,"27.6.a",35,17,11624,0.0017
"hom","27",2018,4,"27.6.a",36,4,4158,6e-04
"hom","27",2018,4,"27.7.b",24,3,21,0.0291
"hom","27",2018,4,"27.7.b",25,9,63,0.0874
"hom","27",2018,4,"27.7.b",26,15,105,0.1456
"hom","27",2018,4,"27.7.b",27,10,70,0.0971
"hom","27",2018,4,"27.7.b",28,8,56,0.0777
"hom","27",2018,4,"27.7.b",29,12,84,0.1165
"hom","27",2018,4,"27.7.b",30,24,168,0.233
"hom","27",2018,4,"27.7.b",31,10,70,0.0971
"hom","27",2018,4,"27.7.b",32,8,56,0.0777
"hom","27",2018,4,"27.7.b",33,3,21,0.0291
"hom","27",2018,4,"27.7.b",34,1,7,0.0097
"hom","27",2018,4,"27.7.d",15,2,3825,2e-04
"hom","27",2018,4,"27.7.d",16,2,23734,0.0013
"hom","27",2018,4,"27.7.d",17,24,151338,0.008
"hom","27",2018,4,"27.7.d",18,77,470668,0.0249
"hom","27",2018,4,"27.7.d",19,132,1074560,0.0569
"hom","27",2018,4,"27.7.d",20,231,1885012,0.0999
"hom","27",2018,4,"27.7.d",21,306,2597406,0.1377
"hom","27",2018,4,"27.7.d",22,274,2283559,0.121
"hom","27",2018,4,"27.7.d",23,194,1811011,0.096
"hom","27",2018,4,"27.7.d",24,225,2062831,0.1093
"hom","27",2018,4,"27.7.d",25,311,2545943,0.1349
"hom","27",2018,4,"27.7.d",26,170,1513070,0.0802
"hom","27",2018,4,"27.7.d",27,95,889403,0.0471
"hom","27",2018,4,"27.7.d",28,69,663988,0.0352
"hom","27",2018,4,"27.7.d",29,40,424616,0.0225
"hom","27",2018,4,"27.7.d",30,19,206577,0.0109
"hom","27",2018,4,"27.7.d",31,15,170382,0.009
"hom","27",2018,4,"27.7.d",32,5,52066,0.0028
"hom","27",2018,4,"27.7.d",33,3,39316,0.0021
"hom","27",2019,1,"27.6.a",17,2,1008,0
"hom","27",2019,1,"27.6.a",19,1,9302,4e-04
"hom","27",2019,1,"27.6.a",20,8,45592,0.0019
"hom","27",2019,1,"27.6.a",21,49,350769,0.0144
"hom","27",2019,1,"27.6.a",22,100,556090,0.0228
"hom","27",2019,1,"27.6.a",23,162,885252,0.0363
"hom","27",2019,1,"27.6.a",24,437,2597744,0.1064
"hom","27",2019,1,"27.6.a",25,876,5285989,0.2165
"hom","27",2019,1,"27.6.a",26,934,5329154,0.2183
"hom","27",2019,1,"27.6.a",27,567,3002091,0.123
"hom","27",2019,1,"27.6.a",28,376,1681971,0.0689
"hom","27",2019,1,"27.6.a",29,242,1087161,0.0445
"hom","27",2019,1,"27.6.a",30,205,1019205,0.0418
"hom","27",2019,1,"27.6.a",31,169,655766,0.0269
"hom","27",2019,1,"27.6.a",32,199,677693,0.0278
"hom","27",2019,1,"27.6.a",33,173,551710,0.0226
"hom","27",2019,1,"27.6.a",34,103,316265,0.013
"hom","27",2019,1,"27.6.a",35,70,189327,0.0078
"hom","27",2019,1,"27.6.a",36,42,85325,0.0035
"hom","27",2019,1,"27.6.a",37,16,56755,0.0023
"hom","27",2019,1,"27.6.a",38,9,16001,7e-04
"hom","27",2019,1,"27.6.a",39,5,9716,4e-04
"hom","27",2019,1,"27.6.a",40,2,1366,1e-04
"hom","27",2019,1,"27.6.a",42,1,379,0
"hom","27",2019,1,"27.7.b",20,56,109170,0.014
"hom","27",2019,1,"27.7.b",21,73,167429,0.0215
"hom","27",2019,1,"27.7.b",22,84,170173,0.0219
"hom","27",2019,1,"27.7.b",23,74,156036,0.0201
"hom","27",2019,1,"27.7.b",24,84,274093,0.0352
"hom","27",2019,1,"27.7.b",25,166,841038,0.1081
"hom","27",2019,1,"27.7.b",26,323,1857982,0.2388
"hom","27",2019,1,"27.7.b",27,232,1244277,0.1599
"hom","27",2019,1,"27.7.b",28,160,681635,0.0876
"hom","27",2019,1,"27.7.b",29,138,441877,0.0568
"hom","27",2019,1,"27.7.b",30,159,427978,0.055
"hom","27",2019,1,"27.7.b",31,113,545485,0.0701
"hom","27",2019,1,"27.7.b",32,84,269559,0.0346
"hom","27",2019,1,"27.7.b",33,64,284752,0.0366
"hom","27",2019,1,"27.7.b",34,38,154878,0.0199
"hom","27",2019,1,"27.7.b",35,22,56974,0.0073
"hom","27",2019,1,"27.7.b",36,19,58758,0.0076
"hom","27",2019,1,"27.7.b",37,10,31741,0.0041
"hom","27",2019,1,"27.7.b",38,5,6570,8e-04
"hom","27",2019,1,"27.7.b",39,3,36,0
"hom","27",2019,1,"27.7.b",40,2,24,0
"hom","27",2019,1,"27.7.d",18,3,17767,0.0019
"hom","27",2019,1,"27.7.d",19,9,96847,0.0101
"hom","27",2019,1,"27.7.d",20,23,309185,0.0323
"hom","27",2019,1,"27.7.d",21,80,1027975,0.1075
"hom","27",2019,1,"27.7.d",22,98,1073526,0.1122
"hom","27",2019,1,"27.7.d",23,88,1020352,0.1067
"hom","27",2019,1,"27.7.d",24,119,1182525,0.1236
"hom","27",2019,1,"27.7.d",25,146,1420290,0.1485
"hom","27",2019,1,"27.7.d",26,122,1195583,0.125
"hom","27",2019,1,"27.7.d",27,110,1067683,0.1116
"hom","27",2019,1,"27.7.d",28,45,489473,0.0512
"hom","27",2019,1,"27.7.d",29,34,327568,0.0342
"hom","27",2019,1,"27.7.d",30,14,126955,0.0133
"hom","27",2019,1,"27.7.d",31,15,119751,0.0125
"hom","27",2019,1,"27.7.d",32,6,74395,0.0078
"hom","27",2019,1,"27.7.d",33,1,15015,0.0016
"hom","27",2019,1,"27.7.e",15,3,6226,2e-04
"hom","27",2019,1,"27.7.e",16,15,68958,0.002
"hom","27",2019,1,"27.7.e",17,44,153361,0.0045
"hom","27",2019,1,"27.7.e",18,113,541175,0.0158
"hom","27",2019,1,"27.7.e",19,186,827703,0.0241
"hom","27",2019,1,"27.7.e",20,389,1565502,0.0456
"hom","27",2019,1,"27.7.e",21,611,2491161,0.0725
"hom","27",2019,1,"27.7.e",22,652,2681952,0.0781
"hom","27",2019,1,"27.7.e",23,885,4358645,0.1269
"hom","27",2019,1,"27.7.e",24,1154,6580373,0.1915
"hom","27",2019,1,"27.7.e",25,1464,8244949,0.24
"hom","27",2019,1,"27.7.e",26,767,4230530,0.1231
"hom","27",2019,1,"27.7.e",27,291,1622442,0.0472
"hom","27",2019,1,"27.7.e",28,75,562146,0.0164
"hom","27",2019,1,"27.7.e",29,13,130927,0.0038
"hom","27",2019,1,"27.7.e",30,3,65024,0.0019
"hom","27",2019,1,"27.7.e",31,1,42756,0.0012
"hom","27",2019,1,"27.7.e",32,1,30168,9e-04
"hom","27",2019,1,"27.7.e",35,1,30168,9e-04
"hom","27",2019,1,"27.7.e",36,1,30168,9e-04
"hom","27",2019,1,"27.7.e",37,2,60337,0.0018
"hom","27",2019,1,"27.7.e",38,1,30168,9e-04
"hom","27",2019,1,"27.7.h",16,1,847,1e-04
"hom","27",2019,1,"27.7.h",17,3,33762,0.0024
"hom","27",2019,1,"27.7.h",18,18,8770,6e-04
"hom","27",2019,1,"27.7.h",19,87,55369,0.004
"hom","27",2019,1,"27.7.h",20,244,368923,0.0264
"hom","27",2019,1,"27.7.h",21,293,971074,0.0696
"hom","27",2019,1,"27.7.h",22,235,1139693,0.0817
"hom","27",2019,1,"27.7.h",23,346,1586369,0.1137
"hom","27",2019,1,"27.7.h",24,402,2639653,0.1891
"hom","27",2019,1,"27.7.h",25,395,3177693,0.2277
"hom","27",2019,1,"27.7.h",26,312,1912105,0.137
"hom","27",2019,1,"27.7.h",27,203,634134,0.0454
"hom","27",2019,1,"27.7.h",28,62,298244,0.0214
"hom","27",2019,1,"27.7.h",29,23,198313,0.0142
"hom","27",2019,1,"27.7.h",30,17,429602,0.0308
"hom","27",2019,1,"27.7.h",31,6,163518,0.0117
"hom","27",2019,1,"27.7.h",32,7,224471,0.0161
"hom","27",2019,1,"27.7.h",34,3,67316,0.0048
"hom","27",2019,1,"27.7.h",35,2,35249,0.0025
"hom","27",2019,1,"27.7.h",37,3,9545,7e-04
"hom","27",2019,1,"27.7.h",38,1,3181,2e-04
"hom","27",2019,1,"27.7.j",19,3,12094,0.0114
"hom","27",2019,1,"27.7.j",20,29,130701,0.1233
"hom","27",2019,1,"27.7.j",21,46,216091,0.2038
"hom","27",2019,1,"27.7.j",22,27,119242,0.1125
"hom","27",2019,1,"27.7.j",23,2,8540,0.0081
"hom","27",2019,1,"27.7.j",24,3,7168,0.0068
"hom","27",2019,1,"27.7.j",25,21,29904,0.0282
"hom","27",2019,1,"27.7.j",26,58,28563,0.0269
"hom","27",2019,1,"27.7.j",27,91,44200,0.0417
"hom","27",2019,1,"27.7.j",28,89,44029,0.0415
"hom","27",2019,1,"27.7.j",29,70,32967,0.0311
"hom","27",2019,1,"27.7.j",30,79,52104,0.0491
"hom","27",2019,1,"27.7.j",31,84,59874,0.0565
"hom","27",2019,1,"27.7.j",32,104,90364,0.0852
"hom","27",2019,1,"27.7.j",33,78,36443,0.0344
"hom","27",2019,1,"27.7.j",34,72,49198,0.0464
"hom","27",2019,1,"27.7.j",35,59,42413,0.04
"hom","27",2019,1,"27.7.j",36,43,33719,0.0318
"hom","27",2019,1,"27.7.j",37,17,12505,0.0118
"hom","27",2019,1,"27.7.j",38,12,10058,0.0095
"hom","27",2019,1,"27.7.j",39,2,24,0
"hom","27",2019,1,"27.7.j",40,1,16,0
"hom","27",2019,1,"27.8.a",29,1,1867,0.0036
"hom","27",2019,1,"27.8.a",30,3,5602,0.0109
"hom","27",2019,1,"27.8.a",31,17,10101,0.0197
"hom","27",2019,1,"27.8.a",32,39,35954,0.07
"hom","27",2019,1,"27.8.a",33,41,40017,0.0779
"hom","27",2019,1,"27.8.a",34,52,66870,0.1302
"hom","27",2019,1,"27.8.a",35,56,93476,0.182
"hom","27",2019,1,"27.8.a",36,54,104702,0.2039
"hom","27",2019,1,"27.8.a",37,19,50228,0.0978
"hom","27",2019,1,"27.8.a",38,14,21416,0.0417
"hom","27",2019,1,"27.8.a",39,11,60077,0.117
"hom","27",2019,1,"27.8.a",40,3,12282,0.0239
"hom","27",2019,1,"27.8.a",41,1,10970,0.0214
"hom","27",2019,2,"27.4.a",31,2,127,0.0322
"hom","27",2019,2,"27.4.a",32,6,382,0.0968
"hom","27",2019,2,"27.4.a",33,9,573,0.1452
"hom","27",2019,2,"27.4.a",34,14,892,0.2261
"hom","27",2019,2,"27.4.a",35,10,700,0.1774
"hom","27",2019,2,"27.4.a",36,7,446,0.1131
"hom","27",2019,2,"27.4.a",37,7,446,0.1131
